Mouser OR Mfr. # (Input),Customer #,Mouser Part Number,Mfr Part Number,Manufacturer Name,Description,Min,Mult,Availability,Package Type,-----,Unit Price 1,Extended Price 1,Qty. 2,Qty. 1,Extended Price 2,Qty. 3,Price 3,Extended Price 3,Lead Time in Days,Lead Time in Weeks,Lifecycle,Pb Free,RoHS,Package Quantity,NCNR,Datasheet URL
871-B57153S0100M051,,871-B57153S0100M051,B57153S0100M051,EPCOS / TDK,Inrush Current Limiters Inrush Current Limiters S 153/10 M51,1,1,"12,283",REEL,5,$0.63 ,$3.15 ,,3,,,,,357,51,,No,Yes,"1,500",No,https://product.tdk.com/system/files/dam/doc/product/protection/current/ntc-limiter/data_sheet/50/db/icl_16/s153.pdf?ref_disty=mouser
726-IPN70R2K0P7SATM1,,726-IPN70R2K0P7SATM1,IPN70R2K0P7SATMA1,Infineon,MOSFET MOSFET CONSUMER,1,1,"17,002",REEL,5,$0.62 ,$3.10 ,,3,,,,,273,39,,No,Yes,"3,000",No,https://www.infineon.com/dgdl/Infineon-ApplicationNote_PowerMOSFET_SimulationModels-AN-v01_00-EN.pdf?fileId=5546d46250cc1fdf0151588db5ef1b18
942-IRFZ24NPBF,,942-IRFZ24NPBF,IRFZ24NPBF,Infineon,MOSFET MOSFET MOSFT 55V 17A 70mOhm 13.3nC,1,1,"1,221",TUBE,5,$0.87 ,$4.37 ,,3,,,,,121,18,,Yes,Yes,"2,000",No,https://www.infineon.com/dgdl/Infineon-ApplicationNote_PowerMOSFET_SimulationModels-AN-v01_00-EN.pdf?fileId=5546d46250cc1fdf0151588db5ef1b18
603-RC0805FR-07698RL,,603-RC0805FR-07698RL,RC0805FR-07698RL,YAGEO,Thick Film Resistors - SMD Thick Film Resistors - SMD 698 Ohms 125 mW 0805 1%,1,1,"43,645",REEL,5,$0.10 ,$0.51 ,,3,,,,,126,18,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf
603-RC1206FR-072M05L,,603-RC1206FR-072M05L,RC1206FR-072M05L,YAGEO,Thick Film Resistors - SMD Thick Film Resistors - SMD 2.05 MOhms 250 mW 1206 1%,1,1,"18,021",REEL,10,$0.04 ,$0.38 ,,6,,,,,114,17,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf
667-ERJ-P06F1473V,,667-ERJ-P06F1473V,ERJ-P06F1473V,Panasonic,Thick Film Resistors - SMD Thick Film Resistors - SMD 0805 147Kohms 0.5W 1% AEC-Q200,1,1,"6,670",REEL,5,$0.20 ,$1.02 ,,3,,,,,126,18,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/315/AOA0000C331-1141874.pdf
603-RC0805FR-073R09L,,603-RC0805FR-073R09L,RC0805FR-073R09L,YAGEO,Thick Film Resistors - SMD Thick Film Resistors - SMD 3.09Ohms 1/8W 0805 1%,1,1,"4,630",REEL,5,$0.10 ,$0.51 ,,3,,,,,132,19,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf
667-ERA-6AEB8872V,,667-ERA-6AEB8872V,ERA-6AEB8872V,Panasonic,Thin Film Resistors - SMD Thin Film Resistors - SMD 0805 88.7Kohm 0.1% 25ppm,1,1,"5,094",REEL,5,$0.37 ,$1.83 ,,3,,,,,471,68,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/315/AOA0000C307-1149632.pdf
603-RT0805BRD0722KL,,603-RT0805BRD0722KL,RT0805BRD0722KL,YAGEO,Thin Film Resistors - SMD Thin Film Resistors - SMD 1/8W 22K ohm .1% 25ppm,1,1,"32,183",REEL,5,$0.37 ,$1.83 ,,3,,,,,140,20,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf
652-CR0805FX-1911ELF,,652-CR0805FX-1911ELF,CR0805-FX-1911ELF,Bourns,Thick Film Resistors - SMD Thick Film Resistors - SMD 1.91K 1%,1,1,"50,503",REEL,5,$0.10 ,$0.51 ,,3,,,,,77,11,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/54/cr-1858361.pdf
