x,y,layer1,layer2,voltage1,voltage2,current
478.658,2491.66,TOP_LAYER,BOTTOM_LAYER,33.8842,33.8843,-0.025991
478.658,2506.66,TOP_LAYER,BOTTOM_LAYER,33.8842,33.8843,-0.025991
478.658,2521.66,TOP_LAYER,BOTTOM_LAYER,33.8844,33.8844,-0.00777494
478.658,2536.66,TOP_LAYER,BOTTOM_LAYER,33.8844,33.8844,-0.00777494
478.658,2551.66,TOP_LAYER,BOTTOM_LAYER,33.8845,33.8844,0.0264676
478.658,2566.66,TOP_LAYER,BOTTOM_LAYER,33.8845,33.8845,0.00164515
478.658,2581.66,TOP_LAYER,BOTTOM_LAYER,33.8845,33.8845,0.00164515
493.658,756.665,TOP_LAYER,BOTTOM_LAYER,33.8828,33.8827,0.0368918
493.658,771.665,TOP_LAYER,BOTTOM_LAYER,33.8828,33.8827,0.0368918
493.658,786.665,TOP_LAYER,BOTTOM_LAYER,33.883,33.8828,0.05164
493.658,801.665,TOP_LAYER,BOTTOM_LAYER,33.883,33.8828,0.05164
493.658,816.665,TOP_LAYER,BOTTOM_LAYER,33.883,33.8828,0.05164
493.658,831.665,TOP_LAYER,BOTTOM_LAYER,33.8831,33.8829,0.0637873
493.658,846.665,TOP_LAYER,BOTTOM_LAYER,33.8831,33.8829,0.0637873
493.658,2491.66,TOP_LAYER,BOTTOM_LAYER,33.8842,33.8841,0.0361601
493.658,2506.66,TOP_LAYER,BOTTOM_LAYER,33.8842,33.8841,0.0361601
493.658,2521.66,TOP_LAYER,BOTTOM_LAYER,33.8844,33.8842,0.0468407
493.658,2536.66,TOP_LAYER,BOTTOM_LAYER,33.8844,33.8842,0.0468407
493.658,2551.66,TOP_LAYER,BOTTOM_LAYER,33.8845,33.8842,0.0810833
493.658,2566.66,TOP_LAYER,BOTTOM_LAYER,33.8845,33.8843,0.0554596
493.658,2581.66,TOP_LAYER,BOTTOM_LAYER,33.8845,33.8843,0.0554596
494.91,95.6413,TOP_LAYER,BOTTOM_LAYER,0.106289,0.106327,-0.0112263
494.91,292.492,TOP_LAYER,BOTTOM_LAYER,0.106083,0.106189,-0.0318683
494.91,1867.29,TOP_LAYER,BOTTOM_LAYER,0.107584,0.107584,0.000272964
494.91,1965.72,TOP_LAYER,BOTTOM_LAYER,0.10747,0.107503,-0.0100321
494.91,2064.15,TOP_LAYER,BOTTOM_LAYER,0.107374,0.107394,-0.00607707
508.658,756.665,TOP_LAYER,BOTTOM_LAYER,33.8825,33.8827,-0.0403034
508.658,771.665,TOP_LAYER,BOTTOM_LAYER,33.8825,33.8827,-0.0403034
508.658,786.665,TOP_LAYER,BOTTOM_LAYER,33.8828,33.8828,-0.0155164
508.658,801.665,TOP_LAYER,BOTTOM_LAYER,33.8828,33.8828,-0.0155164
508.658,816.665,TOP_LAYER,BOTTOM_LAYER,33.8828,33.8828,-0.0155164
508.658,831.665,TOP_LAYER,BOTTOM_LAYER,33.8829,33.8829,-0.00513198
508.658,846.665,TOP_LAYER,BOTTOM_LAYER,33.8829,33.8829,-0.00513198
508.658,2491.66,TOP_LAYER,BOTTOM_LAYER,33.8839,33.8841,-0.0418926
508.658,2506.66,TOP_LAYER,BOTTOM_LAYER,33.8839,33.8841,-0.0418926
508.658,2521.66,TOP_LAYER,BOTTOM_LAYER,33.8842,33.8842,-0.0220126
508.658,2536.66,TOP_LAYER,BOTTOM_LAYER,33.8842,33.8842,-0.0220126
508.658,2551.66,TOP_LAYER,BOTTOM_LAYER,33.8843,33.8842,0.0152085
508.658,2566.66,TOP_LAYER,BOTTOM_LAYER,33.8843,33.8843,-0.0104152
508.658,2581.66,TOP_LAYER,BOTTOM_LAYER,33.8843,33.8843,-0.0104152
523.658,756.665,TOP_LAYER,BOTTOM_LAYER,33.8825,33.8827,-0.0403034
523.658,771.665,TOP_LAYER,BOTTOM_LAYER,33.8825,33.8827,-0.0403034
523.658,786.665,TOP_LAYER,BOTTOM_LAYER,33.8828,33.8828,-0.0155164
523.658,801.665,TOP_LAYER,BOTTOM_LAYER,33.8828,33.8828,-0.0155164
523.658,816.665,TOP_LAYER,BOTTOM_LAYER,33.8828,33.8828,-0.0155164
523.658,831.665,TOP_LAYER,BOTTOM_LAYER,33.8829,33.8829,-0.00513198
523.658,846.665,TOP_LAYER,BOTTOM_LAYER,33.8829,33.8829,-0.00513198
523.658,2491.66,TOP_LAYER,BOTTOM_LAYER,33.8839,33.8841,-0.0418926
523.658,2506.66,TOP_LAYER,BOTTOM_LAYER,33.8839,33.8841,-0.0418926
523.658,2521.66,TOP_LAYER,BOTTOM_LAYER,33.8842,33.8842,-0.0220126
523.658,2536.66,TOP_LAYER,BOTTOM_LAYER,33.8842,33.8842,-0.0220126
523.658,2551.66,TOP_LAYER,BOTTOM_LAYER,33.8843,33.8842,0.0152085
523.658,2566.66,TOP_LAYER,BOTTOM_LAYER,33.8843,33.8843,-0.0104152
523.658,2581.66,TOP_LAYER,BOTTOM_LAYER,33.8843,33.8843,-0.0104152
556.753,593.57,TOP_LAYER,BOTTOM_LAYER,33.8796,33.881,-3.53006
538.658,756.665,TOP_LAYER,BOTTOM_LAYER,33.8823,33.8825,-0.0463367
538.658,771.665,TOP_LAYER,BOTTOM_LAYER,33.8823,33.8825,-0.0463367
538.658,786.665,TOP_LAYER,BOTTOM_LAYER,33.8826,33.8826,-0.018603
538.658,801.665,TOP_LAYER,BOTTOM_LAYER,33.8826,33.8826,-0.018603
538.658,816.665,TOP_LAYER,BOTTOM_LAYER,33.8826,33.8826,-0.018603
538.658,831.665,TOP_LAYER,BOTTOM_LAYER,33.8827,33.8827,-0.00984774
538.658,846.665,TOP_LAYER,BOTTOM_LAYER,33.8827,33.8827,-0.00984774
556.753,1455.77,TOP_LAYER,BOTTOM_LAYER,33.8296,33.8277,4.53937
556.753,2328.57,TOP_LAYER,BOTTOM_LAYER,33.881,33.8825,-3.49924
538.658,2491.66,TOP_LAYER,BOTTOM_LAYER,33.8837,33.8839,-0.0484253
538.658,2506.66,TOP_LAYER,BOTTOM_LAYER,33.8837,33.8839,-0.0484253
538.658,2521.66,TOP_LAYER,BOTTOM_LAYER,33.884,33.8841,-0.0248647
538.658,2536.66,TOP_LAYER,BOTTOM_LAYER,33.884,33.8841,-0.0248647
538.658,2551.66,TOP_LAYER,BOTTOM_LAYER,33.8841,33.8841,0.0135303
538.658,2566.66,TOP_LAYER,BOTTOM_LAYER,33.8841,33.8841,-0.0156778
538.658,2581.66,TOP_LAYER,BOTTOM_LAYER,33.8841,33.8841,-0.0156778
556.753,3190.77,TOP_LAYER,BOTTOM_LAYER,33.831,33.8292,4.54016
544.122,194.067,TOP_LAYER,BOTTOM_LAYER,0.106447,0.10653,-0.0248121
544.122,390.917,TOP_LAYER,BOTTOM_LAYER,0.106263,0.106445,-0.0546329
544.122,1867.29,TOP_LAYER,BOTTOM_LAYER,0.107794,0.107793,0.00047059
544.122,1965.72,TOP_LAYER,BOTTOM_LAYER,0.107689,0.107729,-0.0120466
544.122,2064.15,TOP_LAYER,BOTTOM_LAYER,0.107605,0.107655,-0.0150768
553.658,756.665,TOP_LAYER,BOTTOM_LAYER,33.8823,33.8825,-0.0463367
553.658,771.665,TOP_LAYER,BOTTOM_LAYER,33.8823,33.8825,-0.0463367
553.658,786.665,TOP_LAYER,BOTTOM_LAYER,33.8826,33.8826,-0.018603
553.658,801.665,TOP_LAYER,BOTTOM_LAYER,33.8826,33.8826,-0.018603
553.658,816.665,TOP_LAYER,BOTTOM_LAYER,33.8826,33.8826,-0.018603
553.658,831.665,TOP_LAYER,BOTTOM_LAYER,33.8827,33.8827,-0.00984774
553.658,846.665,TOP_LAYER,BOTTOM_LAYER,33.8827,33.8827,-0.00984774
553.658,2491.66,TOP_LAYER,BOTTOM_LAYER,33.8837,33.8839,-0.0484253
553.658,2506.66,TOP_LAYER,BOTTOM_LAYER,33.8837,33.8839,-0.0484253
553.658,2521.66,TOP_LAYER,BOTTOM_LAYER,33.884,33.8841,-0.0248647
553.658,2536.66,TOP_LAYER,BOTTOM_LAYER,33.884,33.8841,-0.0248647
553.658,2551.66,TOP_LAYER,BOTTOM_LAYER,33.8841,33.8841,0.0135303
553.658,2566.66,TOP_LAYER,BOTTOM_LAYER,33.8841,33.8841,-0.0156778
553.658,2581.66,TOP_LAYER,BOTTOM_LAYER,33.8841,33.8841,-0.0156778
568.658,756.665,TOP_LAYER,BOTTOM_LAYER,33.8823,33.8824,-0.0214387
568.658,771.665,TOP_LAYER,BOTTOM_LAYER,33.8823,33.8824,-0.0214387
568.658,786.665,TOP_LAYER,BOTTOM_LAYER,33.8826,33.8825,0.00860835
568.658,801.665,TOP_LAYER,BOTTOM_LAYER,33.8826,33.8825,0.00860835
568.658,816.665,TOP_LAYER,BOTTOM_LAYER,33.8826,33.8825,0.00860835
568.658,831.665,TOP_LAYER,BOTTOM_LAYER,33.8827,33.8826,0.0216973
568.658,846.665,TOP_LAYER,BOTTOM_LAYER,33.8827,33.8826,0.0216973
568.658,2491.66,TOP_LAYER,BOTTOM_LAYER,33.8837,33.8838,-0.0236908
568.658,2506.66,TOP_LAYER,BOTTOM_LAYER,33.8837,33.8838,-0.0236908
568.658,2521.66,TOP_LAYER,BOTTOM_LAYER,33.884,33.884,0.00297546
568.658,2536.66,TOP_LAYER,BOTTOM_LAYER,33.884,33.884,0.00297546
568.658,2551.66,TOP_LAYER,BOTTOM_LAYER,33.8841,33.884,0.0413704
568.658,2566.66,TOP_LAYER,BOTTOM_LAYER,33.8841,33.8841,0.0147209
568.658,2581.66,TOP_LAYER,BOTTOM_LAYER,33.8841,33.8841,0.0147209
593.335,95.6413,TOP_LAYER,BOTTOM_LAYER,0.106847,0.107123,-0.0824621
593.335,292.492,TOP_LAYER,BOTTOM_LAYER,0.106631,0.107069,-0.130728
593.335,1867.29,TOP_LAYER,BOTTOM_LAYER,0.108016,0.108219,-0.0608468
593.335,1965.72,TOP_LAYER,BOTTOM_LAYER,0.10791,0.108174,-0.0788237
593.335,2064.15,TOP_LAYER,BOTTOM_LAYER,0.10783,0.108157,-0.0976333
642.548,194.067,TOP_LAYER,BOTTOM_LAYER,0.10724,0.107374,-0.0401306
642.548,390.917,TOP_LAYER,BOTTOM_LAYER,0.106981,0.107435,-0.135442
642.548,1867.29,TOP_LAYER,BOTTOM_LAYER,0.108446,0.108456,-0.00292574
642.548,1965.72,TOP_LAYER,BOTTOM_LAYER,0.108306,0.108411,-0.0312632
642.548,2064.15,TOP_LAYER,BOTTOM_LAYER,0.108207,0.108422,-0.0642358
691.76,95.6413,TOP_LAYER,BOTTOM_LAYER,0.107727,0.107717,0.0031659
691.76,292.492,TOP_LAYER,BOTTOM_LAYER,0.107314,0.107689,-0.112076
691.76,1867.29,TOP_LAYER,BOTTOM_LAYER,0.108678,0.108692,-0.00435814
691.76,1965.72,TOP_LAYER,BOTTOM_LAYER,0.108499,0.108641,-0.0422541
691.76,2064.15,TOP_LAYER,BOTTOM_LAYER,0.108373,0.108691,-0.0948047
740.973,194.067,TOP_LAYER,BOTTOM_LAYER,0.107768,0.108152,-0.115066
740.973,981.468,TOP_LAYER,BOTTOM_LAYER,0.110322,0.109955,0.109584
740.973,1178.32,TOP_LAYER,BOTTOM_LAYER,0.110037,0.109735,0.0902777
740.973,1867.29,TOP_LAYER,BOTTOM_LAYER,0.108923,0.108935,-0.00364676
740.973,1965.72,TOP_LAYER,BOTTOM_LAYER,0.108683,0.109045,-0.108007
740.973,2064.15,TOP_LAYER,BOTTOM_LAYER,0.108498,0.108971,-0.14136
740.973,2753.12,TOP_LAYER,BOTTOM_LAYER,0.111339,0.111352,-0.00398806
740.973,2851.55,TOP_LAYER,BOTTOM_LAYER,0.111349,0.111357,-0.00239197
740.973,2949.97,TOP_LAYER,BOTTOM_LAYER,0.111357,0.111359,-0.000777538
790.185,95.6413,TOP_LAYER,BOTTOM_LAYER,0.108438,0.108671,-0.0695753
790.185,292.492,TOP_LAYER,BOTTOM_LAYER,0.1079,0.10864,-0.221289
790.185,883.043,TOP_LAYER,BOTTOM_LAYER,0.110393,0.110309,0.0248809
790.185,1276.74,TOP_LAYER,BOTTOM_LAYER,0.10999,0.109853,0.0409234
790.185,2162.57,TOP_LAYER,BOTTOM_LAYER,0.11024,0.109786,0.135668
790.185,2556.27,TOP_LAYER,BOTTOM_LAYER,0.111281,0.11132,-0.0116358
790.185,2654.7,TOP_LAYER,BOTTOM_LAYER,0.111316,0.111344,-0.00862451
790.185,2753.12,TOP_LAYER,BOTTOM_LAYER,0.111339,0.111352,-0.00405113
790.185,3048.4,TOP_LAYER,BOTTOM_LAYER,0.111359,0.111361,-0.000798593
820.311,1939.69,TOP_LAYER,BOTTOM_LAYER,0.109038,0.109282,-0.433346
821.185,204.137,TOP_LAYER,BOTTOM_LAYER,0.108274,0.108481,-0.366881
838.658,456.665,TOP_LAYER,BOTTOM_LAYER,0.110368,0.109615,0.225184
838.658,2191.66,TOP_LAYER,BOTTOM_LAYER,0.110599,0.110441,0.0474769
839.398,784.618,TOP_LAYER,BOTTOM_LAYER,0.110432,0.110385,0.0140254
839.398,981.468,TOP_LAYER,BOTTOM_LAYER,0.110408,0.110195,0.0637714
839.398,1178.32,TOP_LAYER,BOTTOM_LAYER,0.110001,0.109967,0.0101088
839.398,2162.57,TOP_LAYER,BOTTOM_LAYER,0.110634,0.110147,0.145395
839.398,2556.27,TOP_LAYER,BOTTOM_LAYER,0.111303,0.111329,-0.00781512
839.398,2654.7,TOP_LAYER,BOTTOM_LAYER,0.111326,0.111347,-0.00614108
839.398,2753.12,TOP_LAYER,BOTTOM_LAYER,0.111343,0.111355,-0.00336471
839.398,2949.97,TOP_LAYER,BOTTOM_LAYER,0.111359,0.111363,-0.000980146
839.398,3048.4,TOP_LAYER,BOTTOM_LAYER,0.111359,0.111362,-0.000951676
888.611,883.043,TOP_LAYER,BOTTOM_LAYER,0.110467,0.110383,0.0251096
888.611,1867.29,TOP_LAYER,BOTTOM_LAYER,0.110196,0.110089,0.0321063
888.611,2162.57,TOP_LAYER,BOTTOM_LAYER,0.110696,0.11042,0.0826405
888.611,2556.27,TOP_LAYER,BOTTOM_LAYER,0.111316,0.11134,-0.00699609
888.611,2654.7,TOP_LAYER,BOTTOM_LAYER,0.111335,0.111352,-0.00526141
888.611,2753.12,TOP_LAYER,BOTTOM_LAYER,0.111348,0.111358,-0.00309669
937.823,784.618,TOP_LAYER,BOTTOM_LAYER,0.110511,0.110521,-0.00297569
937.823,981.468,TOP_LAYER,BOTTOM_LAYER,0.110486,0.110386,0.0298423
937.823,1867.29,TOP_LAYER,BOTTOM_LAYER,0.110577,0.110729,-0.0454486
937.823,2064.15,TOP_LAYER,BOTTOM_LAYER,0.110667,0.110647,0.00601685
937.823,2162.57,TOP_LAYER,BOTTOM_LAYER,0.110776,0.110778,-0.000777131
937.823,2556.27,TOP_LAYER,BOTTOM_LAYER,0.11133,0.111362,-0.00965968
937.823,2654.7,TOP_LAYER,BOTTOM_LAYER,0.111343,0.111366,-0.00682562
937.823,2753.12,TOP_LAYER,BOTTOM_LAYER,0.111354,0.111369,-0.00450597
942.784,1227.22,TOP_LAYER,BOTTOM_LAYER,0.110052,0.110112,-0.0180174
942.784,2962.22,TOP_LAYER,BOTTOM_LAYER,0.111366,0.111368,-0.000642986
977.784,500.824,TOP_LAYER,BOTTOM_LAYER,0.110634,0.11054,0.0279599
977.784,2235.82,TOP_LAYER,BOTTOM_LAYER,0.11114,0.111065,0.0225013
987.036,95.6413,TOP_LAYER,BOTTOM_LAYER,0.110732,0.110695,0.0112302
987.036,292.492,TOP_LAYER,BOTTOM_LAYER,0.110446,0.110353,0.0275785
987.036,883.043,TOP_LAYER,BOTTOM_LAYER,0.110548,0.110547,0.000154097
987.036,2064.15,TOP_LAYER,BOTTOM_LAYER,0.11071,0.110843,-0.0398331
987.036,2162.57,TOP_LAYER,BOTTOM_LAYER,0.110942,0.11094,0.000403143
987.036,2556.27,TOP_LAYER,BOTTOM_LAYER,0.111353,0.111374,-0.00626914
987.036,2654.7,TOP_LAYER,BOTTOM_LAYER,0.111361,0.111375,-0.00419366
987.036,2753.12,TOP_LAYER,BOTTOM_LAYER,0.111366,0.111376,-0.00281479
1022.48,500.824,TOP_LAYER,BOTTOM_LAYER,0.110698,0.110697,0.000388114
1022.48,2235.82,TOP_LAYER,BOTTOM_LAYER,0.111191,0.111189,0.000772919
1036.25,390.917,TOP_LAYER,BOTTOM_LAYER,0.110795,0.110633,0.0484543
1036.25,784.618,TOP_LAYER,BOTTOM_LAYER,0.110643,0.110653,-0.00310283
1036.25,981.468,TOP_LAYER,BOTTOM_LAYER,0.110601,0.110521,0.0237301
1036.25,2064.15,TOP_LAYER,BOTTOM_LAYER,0.111102,0.111046,0.016503
1036.25,2162.57,TOP_LAYER,BOTTOM_LAYER,0.111012,0.111092,-0.0241269
1036.25,2556.27,TOP_LAYER,BOTTOM_LAYER,0.111366,0.111388,-0.00663011
1036.25,2654.7,TOP_LAYER,BOTTOM_LAYER,0.111371,0.111385,-0.00431763
1036.25,2753.12,TOP_LAYER,BOTTOM_LAYER,0.111373,0.111383,-0.00305757
1053.66,691.665,TOP_LAYER,BOTTOM_LAYER,0.110625,0.110786,-0.0480718
1053.66,2426.66,TOP_LAYER,BOTTOM_LAYER,0.111337,0.111268,0.0209092
1062.78,500.824,TOP_LAYER,BOTTOM_LAYER,0.110764,0.110859,-0.028348
1062.78,2235.82,TOP_LAYER,BOTTOM_LAYER,0.111246,0.111324,-0.0232742
1065.31,748.294,TOP_LAYER,BOTTOM_LAYER,0.110662,0.110728,-0.019941
1065.31,2483.29,TOP_LAYER,BOTTOM_LAYER,0.111371,0.1114,-0.0087903
1073.66,776.665,TOP_LAYER,BOTTOM_LAYER,0.110683,0.110729,-0.0136567
1073.66,2511.66,TOP_LAYER,BOTTOM_LAYER,0.111373,0.111405,-0.0096314
1085.46,292.492,TOP_LAYER,BOTTOM_LAYER,0.110938,0.110883,0.0165552
